review_id,date,customer_id,channel,rating,review_text,sentiment_label
R0162,2024-08-02,C017,ShopeeFood,1,"Pesan via GrabFood, kurir nyasar 1 jam. Makanan dingin. Kecewa.",negative
R0163,2024-09-03,C013,GrabFood,5,"Menurutku, Nasi rendangnya mengingatkan masakan rumah. Recommended!",positive
R0164,2024-07-24,C005,GoFood,5,"Menurutku, Langganan tiap minggu. Rasa konsisten, harga masuk akal. Thanks.",positive
R0165,2024-06-11,C012,Instagram,3,"Nasi boxnya kurang bumbu, hambar. Tolong dievaluasi.",negative
R0166,2025-09-01,C011,GrabFood,3,"Pernah coba, okelah buat sesekali.",neutral
R0167,2025-10-07,C017,ShopeeFood,3,Antri 30 menit untuk dine-in. Staf kurang sigap.,negative
R0168,2025-01-29,C004,GoFood,4,"Menurutku, Kopi tubruknya khas, pahit sedikit tapi enak. Lanjutkan ya.",positive
R0169,2025-05-08,C003,GrabFood,3,"Btw, Antri 30 menit untuk dine-in. Staf kurang sigap. Kecewa.",negative
R0170,2025-05-29,,Google Review,3,"Nasi boxnya kurang bumbu, hambar.",negative
R0171,2025-02-13,C005,ShopeeFood,3,"Roti coklatnya nggak ada coklatnya, cuma selai tipis.",negative
R0172,2025-09-22,C013,GoFood,5,"Btw, Pelayanan ramah waktu dine-in. Tempat bersih. Thanks.",positive
R0173,2025-01-16,,GoFood,4,"Jujur, Rasanya tidak salah, tapi juga tidak memorable.",neutral
R0174,2025-07-05,,Instagram,5,"Btw, Roti coklat keju lumer di mulut. Bakal order lagi.",positive
R0175,2025-11-24,,ShopeeFood,4,"Bagi saya nasi boxnya terlalu pedas, untuk yang suka pedas mungkin pas. Recommended.",neutral
R0176,2024-12-20,C020,GrabFood,4,"Btw, Kopi tubruknya khas, pahit sedikit tapi enak.",positive
R0177,2025-10-03,,Google Review,3,"Oh ya, Roti oke, tapi saya prefer yang lain untuk sarapan.",neutral
R0178,2024-11-13,C016,GoFood,4,"Btw, Kopi tubruknya khas, pahit sedikit tapi enak.",positive
R0179,2025-02-12,C006,Google Review,3,"Btw, Pernah coba, okelah buat sesekali.",neutral
R0180,2025-04-07,C020,Google Review,5,"Oh ya, Pesan via GoFood, sampai 20 menit. Masih hangat. Mantap! 👍",positive
R0181,2024-08-01,,Google Review,3,"Menurutku, Aplikasinya error terus waktu mau bayar, ribet. Kecewa.",negative
R0182,2025-11-30,C003,Instagram,3,Antri 30 menit untuk dine-in. Staf kurang sigap.,negative
R0183,2025-09-06,C009,GoFood,2,Harga naik tapi porsi menyusut. Kurang oke. Kecewa.,negative
R0184,2024-10-23,,ShopeeFood,4,"Kopi tubruknya khas, pahit sedikit tapi enak.",positive
R0185,2024-12-10,,ShopeeFood,5,Nasi rendangnya mengingatkan masakan rumah. Recommended!,positive
R0186,2024-10-10,C004,GrabFood,1,"Pengiriman lama, rotinya sampai dingin. Kecewa.",negative
R0187,2025-11-16,C017,GrabFood,1,"Menurutku, Pesan via GrabFood, kurir nyasar 1 jam. Makanan dingin.",negative
R0188,2024-10-19,,GrabFood,4,"Oh ya, Stok selalu ada, kurir ShopeeFood cepat. Good job. Thanks.",positive
R0189,2025-04-20,,Google Review,3,"Btw, Enaknya standar, harga juga standar.",neutral
R0190,2025-10-08,C008,GrabFood,5,"Btw, Nasi rendangnya mengingatkan masakan rumah. Recommended!",positive
R0191,2025-03-26,,Google Review,1,"Tempat sempit, parkir sulit di weekend. Mohon diperbaiki.",negative
R0192,2024-11-27,,Instagram,5,"Pesan via GoFood, sampai 20 menit. Masih hangat. Mantap! 👍",positive
R0193,2025-11-19,C019,GrabFood,3,"Oh ya, Kue lapis enak tapi mahal untuk porsinya.",neutral
R0194,2025-07-28,,GoFood,4,"Kopi tubruknya khas, pahit sedikit tapi enak. Lanjutkan ya.",positive
R0195,2024-08-07,,ShopeeFood,5,"Nasi box ayamnya porsi besar, bumbu meresap. Wajib coba.",positive
R0196,2024-06-18,C002,Google Review,3,"Btw, Enaknya standar, harga juga standar.",neutral
R0197,2025-06-15,C019,Instagram,3,"Aplikasinya error terus waktu mau bayar, ribet. Mohon diperbaiki.",negative
R0198,2025-11-15,C007,ShopeeFood,2,"Oh ya, Rasa kue lapis berubah dari yang dulu. Tidak seenak sebelumnya.",negative
R0199,2025-12-22,C018,GrabFood,3,"Btw, Kopi lumayan, tapi tidak se-spesial yang diklaim. 👍",neutral
R0200,2025-02-22,C009,GrabFood,3,"Btw, Enaknya standar, harga juga standar. Recommended.",neutral
R0201,2024-12-25,C006,GrabFood,3,"Biasa saja, tidak luar biasa tidak juga buruk.",neutral
R0202,2024-09-26,,GrabFood,2,Harga naik tapi porsi menyusut. Kurang oke. Tolong dievaluasi.,negative
R0203,2025-07-09,C005,Instagram,5,"Btw, Rotinya lembut banget, anak-anak suka. Packingnya rapi.",positive
R0204,2025-06-09,C010,GrabFood,3,"Pernah coba, okelah buat sesekali.",neutral
R0205,2025-01-30,,GrabFood,3,Akan coba lagi kalau kebetulan lewat. Thanks.,neutral
R0206,2025-10-17,C007,Google Review,1,"Pesan via GrabFood, kurir nyasar 1 jam. Makanan dingin.",negative
R0207,2025-10-18,C017,Instagram,4,"Menu lengkap, tapi saya bingung pilih karena terlalu banyak varian.",neutral
R0208,2024-08-14,C002,GoFood,5,"Menurutku, Favorit keluarga. Donat gulanya empuk dan harum. Recommended.",positive
R0209,2024-08-11,,GoFood,3,Antri 30 menit untuk dine-in. Staf kurang sigap.,negative
R0210,2025-11-26,C008,ShopeeFood,4,"Anak saya alergi susu, mereka bantu cek komposisi. Thoughtful. 👍",positive
R0211,2024-08-15,C002,ShopeeFood,3,"Aplikasinya error terus waktu mau bayar, ribet.",negative
R0212,2024-11-10,C012,Google Review,3,"Kopi lumayan, tapi tidak se-spesial yang diklaim.",neutral
R0213,2025-04-16,C005,Instagram,5,"Btw, Favorit keluarga. Donat gulanya empuk dan harum.",positive
R0214,2025-05-10,C015,GrabFood,4,"Oh ya, Kopi tubruknya khas, pahit sedikit tapi enak. Lanjutkan ya.",positive
R0215,2024-11-12,C001,ShopeeFood,1,"Oh ya, Donatnya keras, kayaknya bukan hari itu dibuat. Tolong dievaluasi.",negative
R0216,2024-07-12,C017,ShopeeFood,5,"Menurutku, Kue lapisnya juara. Tidak terlalu manis, tekstur pas. Lanjutkan ya.",positive
R0217,2025-05-20,C004,Google Review,3,"Pernah coba, okelah buat sesekali. Recommended.",neutral
R0218,2024-11-07,,GrabFood,4,"Oh ya, Menu lengkap, tapi saya bingung pilih karena terlalu banyak varian.",neutral
R0219,2025-03-27,C005,GrabFood,2,"Packaging bocor, kuah nasi tumpah di tas.",negative
R0220,2024-10-30,,GrabFood,4,"Menurutku, Stok selalu ada, kurir ShopeeFood cepat. Good job.",positive
R0221,2025-11-02,,Instagram,3,"Roti oke, tapi saya prefer yang lain untuk sarapan.",neutral
R0222,2024-12-29,C020,GrabFood,4,"Kopi tubruknya khas, pahit sedikit tapi enak. Lanjutkan ya.",positive
R0223,2025-07-19,,GoFood,4,"Jujur, Bagi saya nasi boxnya terlalu pedas, untuk yang suka pedas mungkin pas. Lanjutkan ya.",neutral
R0224,2024-09-25,,ShopeeFood,3,"Btw, Roti coklatnya nggak ada coklatnya, cuma selai tipis. Mohon diperbaiki.",negative
R0225,2025-10-29,C001,GrabFood,5,"Btw, Pelayanan ramah waktu dine-in. Tempat bersih. Recommended.",positive
R0226,2024-08-03,,Google Review,4,"Pesanan 50 box buat rapat kantor, datang tepat waktu. Kerja sama lagi.",positive
R0227,2024-11-04,C020,Instagram,3,"Baru pertama kali coba, belum bisa nilai.",neutral
R0228,2024-12-15,,Instagram,3,"Kopi lumayan, tapi tidak se-spesial yang diklaim.",neutral
R0229,2025-09-22,C010,ShopeeFood,3,"Jujur, Roti oke, tapi saya prefer yang lain untuk sarapan. Lanjutkan ya.",neutral
R0230,2025-12-26,C003,GoFood,4,"Stok selalu ada, kurir ShopeeFood cepat. Good job.",positive
R0231,2025-10-02,C009,GoFood,3,"Btw, Nasi boxnya kurang bumbu, hambar.",negative
R0232,2025-12-23,,Instagram,3,"Jujur, Aplikasinya error terus waktu mau bayar, ribet. Kecewa.",negative
R0233,2025-08-04,C011,ShopeeFood,1,"Jujur, Pesan via GrabFood, kurir nyasar 1 jam. Makanan dingin. Kecewa.",negative
R0234,2024-11-10,C015,GrabFood,3,"Oh ya, Baru pertama kali coba, belum bisa nilai.",neutral
R0235,2025-02-18,C018,GrabFood,3,"Jujur, Roti coklatnya nggak ada coklatnya, cuma selai tipis. Tolong dievaluasi.",negative
R0236,2025-02-18,,Google Review,1,"Oh ya, Pengiriman lama, rotinya sampai dingin. Kecewa.",negative
R0237,2025-08-17,C005,GoFood,4,"Jujur, Rasanya tidak salah, tapi juga tidak memorable. Lanjutkan ya.",neutral
R0238,2024-07-05,,Google Review,4,"Anak saya alergi susu, mereka bantu cek komposisi. Thoughtful.",positive
R0239,2024-06-21,,ShopeeFood,3,"Oh ya, Roti coklatnya nggak ada coklatnya, cuma selai tipis. Tolong dievaluasi.",negative
R0240,2024-08-26,,GrabFood,5,"Jujur, Rotinya lembut banget, anak-anak suka. Packingnya rapi. Recommended.",positive
