campaign_id,campaign_name,start_date,end_date,channel,target_segment,budget_idr,revenue_attributed_idr,roi,owner
CAMP-0320,NSI Sehat 2024-Q1,2024-02-20,2024-02-27,loyalty_program,senior,270000000,1512981323,5.6,Marketing-9
CAMP-0125,NSI Senin Hemat 2024-Q1,2024-03-01,2024-03-31,sms_blast,mass,73000000,197941869,2.71,Marketing-11
CAMP-0199,NSI Sehat 2024-Q1,2024-03-02,2024-04-16,loyalty_program,mass,125000000,726264755,5.81,Marketing-6
CAMP-0252,NSI Premium 2024-Q1,2024-03-03,2024-05-02,in_store_promo,mass,406000000,1369164431,3.37,Marketing-8
CAMP-0169,NSI Wellness 2024-Q1,2024-03-04,2024-03-11,sms_blast,b2b,56000000,147474737,2.63,Marketing-3
CAMP-0314,NSI Senin Hemat 2024-Q1,2024-03-04,2024-03-18,sms_blast,mass,46000000,121007180,2.63,Marketing-11
CAMP-0035,NSI Wellness 2024-Q1,2024-03-05,2024-03-12,kol_influencer,wellness_premium,915000000,3139991184,3.43,Marketing-6
CAMP-0327,NSI Senin Hemat 2024-Q1,2024-03-05,2024-05-04,sms_blast,young_family,31000000,91247041,2.94,Marketing-5
CAMP-0233,NSI Wellness 2024-Q1,2024-03-07,2024-03-21,kol_influencer,senior,407000000,1390111230,3.42,Marketing-4
CAMP-0299,NSI Senin Hemat 2024-Q1,2024-03-08,2024-05-07,digital_ads,b2b,281000000,730945583,2.6,Marketing-9
CAMP-0318,NSI Sehat 2024-Q1,2024-03-08,2024-05-07,apps_push,young_family,16000000,63310550,3.96,Marketing-5
CAMP-0060,NSI BBM 2024-Q1,2024-03-10,2024-04-24,kol_influencer,senior,804000000,3222041160,4.01,Marketing-11
CAMP-0117,NSI BBM 2024-Q1,2024-03-12,2024-03-26,loyalty_program,senior,283000000,1469599376,5.19,Marketing-5
CAMP-0282,NSI Premium 2024-Q1,2024-03-12,2024-05-11,kol_influencer,mass,578000000,2609573640,4.51,Marketing-7
CAMP-0049,NSI Senin Hemat 2024-Q1,2024-03-13,2024-03-20,kol_influencer,young_family,940000000,3230227075,3.44,Marketing-9
CAMP-0119,NSI Sehat 2024-Q1,2024-03-13,2024-03-20,loyalty_program,mass,122000000,606733900,4.97,Marketing-12
CAMP-0089,NSI Premium 2024-Q1,2024-03-14,2024-04-28,digital_ads,mass,168000000,405936760,2.42,Marketing-10
CAMP-0130,NSI Premium 2024-Q1,2024-03-14,2024-05-13,in_store_promo,mass,529000000,2062670468,3.9,Marketing-11
CAMP-0265,NSI Reward 2024-Q1,2024-03-14,2024-03-21,digital_ads,senior,275000000,785004082,2.85,Marketing-7
CAMP-0048,NSI Reward 2024-Q1,2024-03-16,2024-03-30,sms_blast,young_family,50000000,169003459,3.38,Marketing-12
CAMP-0098,NSI BBM 2024-Q1,2024-03-17,2024-05-16,in_store_promo,senior,580000000,1963280596,3.38,Marketing-1
CAMP-0266,NSI Senin Hemat 2024-Q1,2024-03-17,2024-03-24,loyalty_program,b2b,340000000,1696274606,4.99,Marketing-1
CAMP-0005,NSI Premium 2024-Q1,2024-03-18,2024-03-25,apps_push,senior,6000000,30456408,5.08,Marketing-12
CAMP-0340,NSI BBM 2024-Q1,2024-03-18,2024-05-02,apps_push,b2b,10000000,50849548,5.08,Marketing-4
CAMP-0270,NSI Reward 2024-Q1,2024-03-20,2024-05-04,kol_influencer,b2b,705000000,2715374939,3.85,Marketing-6
CAMP-0329,NSI Premium 2024-Q2,2024-04-02,2024-05-17,sms_blast,young_family,57000000,186697689,3.28,Marketing-4
CAMP-0069,NSI Sehat 2024-Q2,2024-04-04,2024-05-19,in_store_promo,young_family,457000000,1465087816,3.21,Marketing-9
CAMP-0031,NSI BBM 2024-Q2,2024-04-06,2024-05-21,in_store_promo,senior,616000000,1989011339,3.23,Marketing-8
CAMP-0143,NSI Premium 2024-Q2,2024-04-06,2024-06-05,apps_push,b2b,22000000,95863496,4.36,Marketing-11
CAMP-0156,NSI Wellness 2024-Q2,2024-04-07,2024-04-21,apps_push,wellness_premium,16000000,66627706,4.16,Marketing-4
CAMP-0020,NSI Senin Hemat 2024-Q2,2024-04-11,2024-05-26,apps_push,young_family,22000000,97713864,4.44,Marketing-11
CAMP-0136,NSI Reward 2024-Q2,2024-04-13,2024-04-20,apps_push,young_family,25000000,123703572,4.95,Marketing-3
CAMP-0300,NSI Sehat 2024-Q2,2024-04-13,2024-05-13,loyalty_program,young_family,261000000,1647519146,6.31,Marketing-7
CAMP-0181,NSI Sehat 2024-Q2,2024-04-14,2024-06-13,loyalty_program,mass,149000000,704207244,4.73,Marketing-4
CAMP-0127,NSI Sehat 2024-Q2,2024-04-16,2024-05-16,apps_push,senior,25000000,118590261,4.74,Marketing-4
CAMP-0044,NSI BBM 2024-Q2,2024-04-17,2024-06-01,kol_influencer,young_family,881000000,3307300348,3.75,Marketing-11
CAMP-0337,NSI BBM 2024-Q2,2024-04-20,2024-05-04,apps_push,young_family,9000000,44015663,4.89,Marketing-3
CAMP-0258,NSI Reward 2024-Q2,2024-05-01,2024-05-15,apps_push,b2b,30000000,128409438,4.28,Marketing-8
CAMP-0173,NSI Senin Hemat 2024-Q2,2024-05-02,2024-07-01,loyalty_program,wellness_premium,146000000,850172341,5.82,Marketing-9
CAMP-0231,NSI Wellness 2024-Q2,2024-05-02,2024-06-01,apps_push,mass,25000000,105590456,4.22,Marketing-8
CAMP-0052,NSI Senin Hemat 2024-Q2,2024-05-05,2024-05-12,loyalty_program,b2b,207000000,1269820798,6.13,Marketing-5
CAMP-0227,NSI Premium 2024-Q2,2024-05-06,2024-05-13,apps_push,wellness_premium,30000000,134490814,4.48,Marketing-2
CAMP-0026,NSI Reward 2024-Q2,2024-05-07,2024-05-21,sms_blast,wellness_premium,26000000,86982583,3.35,Marketing-2
CAMP-0333,NSI Sehat 2024-Q2,2024-05-09,2024-06-08,in_store_promo,mass,237000000,891518689,3.76,Marketing-10
CAMP-0043,NSI Sehat 2024-Q2,2024-05-13,2024-07-12,in_store_promo,senior,764000000,3005372018,3.93,Marketing-7
CAMP-0047,NSI Senin Hemat 2024-Q2,2024-05-14,2024-07-13,sms_blast,wellness_premium,58000000,166812477,2.88,Marketing-2
CAMP-0316,NSI Senin Hemat 2024-Q2,2024-05-15,2024-05-29,digital_ads,wellness_premium,420000000,1089124044,2.59,Marketing-9
CAMP-0335,NSI Senin Hemat 2024-Q2,2024-05-16,2024-05-23,digital_ads,young_family,196000000,522809390,2.67,Marketing-1
CAMP-0234,NSI Premium 2024-Q2,2024-05-20,2024-06-03,digital_ads,wellness_premium,105000000,292220581,2.78,Marketing-7
CAMP-0326,NSI Reward 2024-Q2,2024-06-03,2024-06-17,in_store_promo,senior,555000000,2040098148,3.68,Marketing-1
CAMP-0305,NSI Sehat 2024-Q2,2024-06-06,2024-08-05,sms_blast,senior,20000000,56477474,2.82,Marketing-5
CAMP-0158,NSI Senin Hemat 2024-Q2,2024-06-07,2024-08-06,apps_push,mass,21000000,105156207,5.01,Marketing-6
CAMP-0309,NSI Senin Hemat 2024-Q2,2024-06-08,2024-08-07,digital_ads,wellness_premium,365000000,1027218490,2.81,Marketing-8
CAMP-0260,NSI Reward 2024-Q2,2024-06-09,2024-06-23,apps_push,b2b,13000000,57049987,4.39,Marketing-10
CAMP-0001,NSI Wellness 2024-Q2,2024-06-14,2024-06-21,digital_ads,mass,193000000,488151735,2.53,Marketing-7
CAMP-0151,NSI Wellness 2024-Q2,2024-06-15,2024-08-14,sms_blast,b2b,22000000,57623500,2.62,Marketing-2
CAMP-0009,NSI BBM 2024-Q2,2024-06-16,2024-08-15,sms_blast,b2b,53000000,161552346,3.05,Marketing-2
CAMP-0059,NSI Wellness 2024-Q2,2024-06-16,2024-07-31,in_store_promo,young_family,141000000,514744853,3.65,Marketing-4
CAMP-0238,NSI Wellness 2024-Q2,2024-06-19,2024-08-03,sms_blast,young_family,13000000,44048388,3.39,Marketing-8
CAMP-0207,NSI Premium 2024-Q3,2024-07-01,2024-07-31,sms_blast,mass,73000000,212891861,2.92,Marketing-6
CAMP-0190,NSI Senin Hemat 2024-Q3,2024-07-02,2024-08-16,sms_blast,young_family,76000000,258072334,3.4,Marketing-3
CAMP-0079,NSI Wellness 2024-Q3,2024-07-04,2024-07-11,apps_push,wellness_premium,18000000,92738625,5.15,Marketing-2
CAMP-0132,NSI Premium 2024-Q3,2024-07-05,2024-09-03,kol_influencer,b2b,131000000,568457277,4.34,Marketing-11
CAMP-0200,NSI BBM 2024-Q3,2024-07-07,2024-09-05,loyalty_program,wellness_premium,157000000,923133675,5.88,Marketing-9
CAMP-0086,NSI Sehat 2024-Q3,2024-07-08,2024-08-22,loyalty_program,senior,119000000,636286812,5.35,Marketing-12
CAMP-0100,NSI Sehat 2024-Q3,2024-07-08,2024-08-07,in_store_promo,b2b,712000000,2856018347,4.01,Marketing-1
CAMP-0328,NSI Premium 2024-Q3,2024-07-11,2024-08-25,in_store_promo,young_family,286000000,891068199,3.12,Marketing-1
CAMP-0219,NSI Sehat 2024-Q3,2024-07-13,2024-07-27,loyalty_program,senior,292000000,1404324255,4.81,Marketing-3
CAMP-0084,NSI Wellness 2024-Q3,2024-07-15,2024-09-13,sms_blast,mass,64000000,207103810,3.24,Marketing-11
CAMP-0128,NSI Senin Hemat 2024-Q3,2024-07-15,2024-08-29,loyalty_program,young_family,339000000,1845584962,5.44,Marketing-7
CAMP-0302,NSI BBM 2024-Q3,2024-07-15,2024-08-29,kol_influencer,wellness_premium,479000000,2155475916,4.5,Marketing-9
CAMP-0045,NSI BBM 2024-Q3,2024-07-20,2024-07-27,apps_push,b2b,16000000,79773031,4.99,Marketing-7
CAMP-0054,NSI Senin Hemat 2024-Q3,2024-08-01,2024-08-08,in_store_promo,b2b,540000000,2113876950,3.91,Marketing-7
CAMP-0006,NSI Reward 2024-Q3,2024-08-02,2024-09-16,in_store_promo,senior,144000000,533998978,3.71,Marketing-3
CAMP-0080,NSI Reward 2024-Q3,2024-08-02,2024-08-16,in_store_promo,senior,371000000,1348788007,3.64,Marketing-2
CAMP-0168,NSI Reward 2024-Q3,2024-08-09,2024-08-16,in_store_promo,mass,109000000,383863716,3.52,Marketing-3
CAMP-0288,NSI Wellness 2024-Q3,2024-08-09,2024-09-23,loyalty_program,mass,353000000,1694094977,4.8,Marketing-4
CAMP-0114,NSI Wellness 2024-Q3,2024-08-12,2024-08-19,sms_blast,mass,27000000,72690974,2.69,Marketing-11
CAMP-0040,NSI Wellness 2024-Q3,2024-08-13,2024-10-12,digital_ads,senior,335000000,863944824,2.58,Marketing-5
CAMP-0177,NSI Premium 2024-Q3,2024-08-13,2024-10-12,digital_ads,mass,266000000,721708210,2.71,Marketing-4
CAMP-0216,NSI Reward 2024-Q3,2024-08-13,2024-09-27,kol_influencer,wellness_premium,641000000,2572389800,4.01,Marketing-2
CAMP-0296,NSI Premium 2024-Q3,2024-08-14,2024-08-21,loyalty_program,mass,304000000,1597431282,5.25,Marketing-3
CAMP-0085,NSI Wellness 2024-Q3,2024-08-16,2024-08-23,digital_ads,mass,430000000,1054400099,2.45,Marketing-6
CAMP-0313,NSI BBM 2024-Q3,2024-08-17,2024-08-24,sms_blast,senior,38000000,116419869,3.06,Marketing-5
CAMP-0248,NSI Senin Hemat 2024-Q3,2024-09-05,2024-10-20,in_store_promo,wellness_premium,726000000,2258905855,3.11,Marketing-6
CAMP-0259,NSI Wellness 2024-Q3,2024-09-05,2024-10-20,loyalty_program,senior,123000000,619293253,5.03,Marketing-11
CAMP-0147,NSI Reward 2024-Q3,2024-09-06,2024-11-05,loyalty_program,b2b,128000000,779792044,6.09,Marketing-9
CAMP-0024,NSI Wellness 2024-Q3,2024-09-07,2024-09-21,in_store_promo,b2b,468000000,1594824695,3.41,Marketing-1
CAMP-0051,NSI Senin Hemat 2024-Q3,2024-09-07,2024-09-14,digital_ads,b2b,239000000,764270523,3.2,Marketing-8
CAMP-0330,NSI Senin Hemat 2024-Q3,2024-09-08,2024-10-08,in_store_promo,wellness_premium,732000000,2335944892,3.19,Marketing-3
CAMP-0087,NSI Reward 2024-Q3,2024-09-09,2024-11-08,kol_influencer,mass,768000000,2922627973,3.81,Marketing-3
CAMP-0141,NSI Reward 2024-Q3,2024-09-09,2024-09-16,digital_ads,senior,434000000,1168724213,2.69,Marketing-6
CAMP-0022,NSI Wellness 2024-Q3,2024-09-10,2024-09-24,apps_push,senior,26000000,111567408,4.29,Marketing-1
CAMP-0038,NSI Reward 2024-Q3,2024-09-12,2024-09-26,loyalty_program,mass,150000000,884254450,5.9,Marketing-3
CAMP-0027,NSI Senin Hemat 2024-Q3,2024-09-15,2024-09-29,in_store_promo,wellness_premium,131000000,482986938,3.69,Marketing-4
CAMP-0277,NSI Premium 2024-Q3,2024-09-16,2024-11-15,loyalty_program,mass,88000000,470438349,5.35,Marketing-10
CAMP-0211,NSI Senin Hemat 2024-Q3,2024-09-17,2024-10-17,digital_ads,young_family,240000000,616392898,2.57,Marketing-10
CAMP-0276,NSI Premium 2024-Q3,2024-09-17,2024-11-16,in_store_promo,b2b,596000000,2223311049,3.73,Marketing-5
CAMP-0274,NSI Reward 2024-Q3,2024-09-18,2024-09-25,loyalty_program,senior,150000000,916517698,6.11,Marketing-7
CAMP-0170,NSI Wellness 2024-Q3,2024-09-19,2024-10-19,apps_push,wellness_premium,6000000,26467909,4.41,Marketing-10
CAMP-0196,NSI BBM 2024-Q3,2024-09-20,2024-10-20,apps_push,b2b,13000000,54409092,4.19,Marketing-5
CAMP-0070,NSI BBM 2024-Q4,2024-10-02,2024-11-16,loyalty_program,wellness_premium,300000000,1442934507,4.81,Marketing-10
CAMP-0183,NSI Sehat 2024-Q4,2024-10-03,2024-12-02,in_store_promo,senior,409000000,1639718202,4.01,Marketing-8
CAMP-0206,NSI BBM 2024-Q4,2024-10-03,2024-11-17,kol_influencer,mass,434000000,1923291194,4.43,Marketing-1
CAMP-0308,NSI Wellness 2024-Q4,2024-10-08,2024-10-22,loyalty_program,young_family,236000000,1455054153,6.17,Marketing-10
CAMP-0334,NSI Reward 2024-Q4,2024-10-17,2024-10-24,in_store_promo,young_family,574000000,1879414175,3.27,Marketing-4
CAMP-0062,NSI Wellness 2024-Q4,2024-10-18,2024-11-01,apps_push,senior,15000000,77099895,5.14,Marketing-4
CAMP-0077,NSI BBM 2024-Q4,2024-10-18,2024-11-01,in_store_promo,mass,331000000,1164615626,3.52,Marketing-11
CAMP-0217,NSI Reward 2024-Q4,2024-11-01,2024-11-08,digital_ads,senior,428000000,1047521671,2.45,Marketing-9
CAMP-0332,NSI Premium 2024-Q4,2024-11-01,2024-11-08,in_store_promo,young_family,629000000,2456539595,3.91,Marketing-3
CAMP-0017,NSI Wellness 2024-Q4,2024-11-02,2025-01-01,kol_influencer,b2b,908000000,3755732318,4.14,Marketing-6
CAMP-0166,NSI BBM 2024-Q4,2024-11-03,2025-01-02,loyalty_program,wellness_premium,347000000,1749000526,5.04,Marketing-6
CAMP-0039,NSI Senin Hemat 2024-Q4,2024-11-04,2024-11-18,loyalty_program,senior,167000000,819680771,4.91,Marketing-1
CAMP-0092,NSI Wellness 2024-Q4,2024-11-09,2024-11-16,in_store_promo,senior,571000000,2030900774,3.56,Marketing-8
CAMP-0139,NSI Reward 2024-Q4,2024-11-10,2025-01-09,in_store_promo,mass,129000000,510837536,3.96,Marketing-12
CAMP-0082,NSI Reward 2024-Q4,2024-11-11,2024-11-18,digital_ads,b2b,255000000,802165663,3.15,Marketing-3
CAMP-0298,NSI Reward 2024-Q4,2024-11-13,2024-12-13,apps_push,mass,22000000,90492337,4.11,Marketing-7
CAMP-0078,NSI Senin Hemat 2024-Q4,2024-11-14,2024-12-14,kol_influencer,senior,816000000,3648343105,4.47,Marketing-11
CAMP-0011,NSI Sehat 2024-Q4,2024-11-20,2025-01-04,in_store_promo,senior,354000000,1339076860,3.78,Marketing-12
CAMP-0176,NSI Wellness 2024-Q4,2024-11-20,2024-12-04,sms_blast,young_family,23000000,77894635,3.39,Marketing-7
CAMP-0221,NSI Premium 2024-Q4,2024-11-20,2024-12-04,loyalty_program,mass,129000000,640971141,4.97,Marketing-8
CAMP-0287,NSI Premium 2024-Q4,2024-12-03,2025-02-01,kol_influencer,senior,458000000,1879824770,4.1,Marketing-7
CAMP-0050,NSI Premium 2024-Q4,2024-12-04,2024-12-18,kol_influencer,senior,902000000,3403990659,3.77,Marketing-6
CAMP-0283,NSI Premium 2024-Q4,2024-12-05,2025-02-03,in_store_promo,b2b,747000000,2521603503,3.38,Marketing-1
CAMP-0212,NSI Wellness 2024-Q4,2024-12-06,2024-12-13,kol_influencer,senior,739000000,2787758431,3.77,Marketing-7
CAMP-0250,NSI Senin Hemat 2024-Q4,2024-12-08,2025-02-06,loyalty_program,wellness_premium,303000000,1502048752,4.96,Marketing-2
CAMP-0165,NSI Reward 2024-Q4,2024-12-11,2024-12-25,digital_ads,wellness_premium,187000000,554813279,2.97,Marketing-6
CAMP-0010,NSI Sehat 2024-Q4,2024-12-13,2025-01-12,sms_blast,b2b,59000000,194673986,3.3,Marketing-3
CAMP-0285,NSI Wellness 2024-Q4,2024-12-13,2025-01-27,kol_influencer,mass,865000000,3029775994,3.5,Marketing-10
CAMP-0091,NSI Premium 2024-Q4,2024-12-16,2025-01-30,apps_push,mass,14000000,70886981,5.06,Marketing-4
CAMP-0134,NSI Wellness 2024-Q4,2024-12-19,2025-01-18,in_store_promo,mass,251000000,822503980,3.28,Marketing-12
CAMP-0303,NSI BBM 2024-Q4,2024-12-19,2025-02-17,loyalty_program,b2b,270000000,1416473754,5.25,Marketing-1
CAMP-0267,NSI Reward 2025-Q1,2025-01-03,2025-03-04,digital_ads,wellness_premium,281000000,616474902,2.19,Marketing-2
CAMP-0312,NSI Senin Hemat 2025-Q1,2025-01-03,2025-01-17,in_store_promo,wellness_premium,531000000,1349704352,2.54,Marketing-2
CAMP-0094,NSI Reward 2025-Q1,2025-01-04,2025-02-03,loyalty_program,mass,235000000,1024588280,4.36,Marketing-7
CAMP-0247,NSI BBM 2025-Q1,2025-01-07,2025-02-06,loyalty_program,young_family,87000000,390189137,4.48,Marketing-2
CAMP-0317,NSI BBM 2025-Q1,2025-01-08,2025-03-09,kol_influencer,mass,548000000,1767101193,3.22,Marketing-7
CAMP-0242,NSI Premium 2025-Q1,2025-01-09,2025-01-16,loyalty_program,wellness_premium,331000000,1408518979,4.26,Marketing-9
CAMP-0164,NSI Wellness 2025-Q1,2025-01-11,2025-01-25,sms_blast,mass,32000000,62401345,1.95,Marketing-5
CAMP-0198,NSI Senin Hemat 2025-Q1,2025-01-13,2025-01-20,loyalty_program,b2b,306000000,1506211244,4.92,Marketing-6
CAMP-0213,NSI Wellness 2025-Q1,2025-01-13,2025-02-27,sms_blast,senior,71000000,184668706,2.6,Marketing-12
CAMP-0025,NSI Reward 2025-Q1,2025-01-14,2025-01-21,kol_influencer,young_family,349000000,930103567,2.67,Marketing-4
CAMP-0343,NSI BBM 2025-Q1,2025-01-16,2025-03-02,apps_push,wellness_premium,6000000,19699219,3.28,Marketing-12
CAMP-0336,NSI Wellness 2025-Q1,2025-01-18,2025-02-01,apps_push,b2b,27000000,99694590,3.69,Marketing-3
CAMP-0021,NSI Wellness 2025-Q1,2025-01-19,2025-02-18,in_store_promo,senior,634000000,1864916530,2.94,Marketing-8
CAMP-0220,NSI Sehat 2025-Q1,2025-02-01,2025-02-15,loyalty_program,young_family,178000000,831097215,4.67,Marketing-10
CAMP-0186,NSI Premium 2025-Q1,2025-02-05,2025-03-07,in_store_promo,b2b,573000000,1580831194,2.76,Marketing-7
CAMP-0083,NSI Premium 2025-Q1,2025-02-08,2025-02-15,sms_blast,young_family,70000000,171666907,2.45,Marketing-2
CAMP-0301,NSI BBM 2025-Q1,2025-02-08,2025-02-15,kol_influencer,mass,414000000,1225672043,2.96,Marketing-1
CAMP-0228,NSI Senin Hemat 2025-Q1,2025-02-09,2025-02-23,sms_blast,senior,53000000,103829682,1.96,Marketing-2
CAMP-0126,NSI Wellness 2025-Q1,2025-02-16,2025-02-23,apps_push,wellness_premium,28000000,94959157,3.39,Marketing-8
CAMP-0239,NSI Reward 2025-Q1,2025-02-17,2025-03-03,loyalty_program,mass,238000000,926437403,3.89,Marketing-4
CAMP-0057,NSI BBM 2025-Q1,2025-02-19,2025-04-20,apps_push,young_family,10000000,31814141,3.18,Marketing-1
CAMP-0046,NSI Premium 2025-Q1,2025-03-01,2025-03-31,sms_blast,young_family,63000000,155953358,2.48,Marketing-3
CAMP-0028,NSI Reward 2025-Q1,2025-03-03,2025-03-10,kol_influencer,b2b,622000000,2087812484,3.36,Marketing-7
CAMP-0115,NSI Sehat 2025-Q1,2025-03-04,2025-03-18,in_store_promo,young_family,357000000,1024190971,2.87,Marketing-6
CAMP-0029,NSI Premium 2025-Q1,2025-03-12,2025-04-11,loyalty_program,wellness_premium,185000000,805387716,4.35,Marketing-3
CAMP-0042,NSI Senin Hemat 2025-Q1,2025-03-12,2025-03-19,kol_influencer,senior,707000000,2429663349,3.44,Marketing-8
CAMP-0182,NSI Premium 2025-Q1,2025-03-12,2025-05-11,sms_blast,wellness_premium,29000000,71945270,2.48,Marketing-2
CAMP-0012,NSI Senin Hemat 2025-Q1,2025-03-14,2025-03-28,in_store_promo,senior,662000000,1699734375,2.57,Marketing-7
CAMP-0037,NSI BBM 2025-Q1,2025-03-14,2025-04-13,kol_influencer,b2b,708000000,2495757359,3.53,Marketing-7
CAMP-0106,NSI Premium 2025-Q1,2025-03-14,2025-05-13,in_store_promo,b2b,483000000,1321460374,2.74,Marketing-5
CAMP-0286,NSI BBM 2025-Q1,2025-03-16,2025-04-15,kol_influencer,young_family,470000000,1431766855,3.05,Marketing-9
CAMP-0307,NSI BBM 2025-Q1,2025-03-16,2025-05-15,loyalty_program,senior,297000000,1289007584,4.34,Marketing-3
CAMP-0081,NSI Wellness 2025-Q1,2025-03-17,2025-05-16,apps_push,senior,28000000,87719992,3.13,Marketing-4
CAMP-0310,NSI Wellness 2025-Q1,2025-03-18,2025-05-17,sms_blast,mass,45000000,94954032,2.11,Marketing-1
CAMP-0321,NSI Senin Hemat 2025-Q1,2025-03-18,2025-05-02,apps_push,mass,25000000,75838745,3.03,Marketing-11
CAMP-0272,NSI Premium 2025-Q1,2025-03-19,2025-04-02,apps_push,senior,10000000,33613855,3.36,Marketing-6
CAMP-0148,NSI Sehat 2025-Q1,2025-03-20,2025-05-19,loyalty_program,wellness_premium,279000000,1303515750,4.67,Marketing-5
CAMP-0297,NSI BBM 2025-Q1,2025-03-20,2025-04-19,in_store_promo,mass,271000000,783127619,2.89,Marketing-10
CAMP-0279,NSI BBM 2025-Q2,2025-04-01,2025-04-15,kol_influencer,senior,990000000,2610808853,2.64,Marketing-7
CAMP-0133,NSI Sehat 2025-Q2,2025-04-02,2025-05-17,kol_influencer,wellness_premium,550000000,1747988283,3.18,Marketing-3
CAMP-0209,NSI Wellness 2025-Q2,2025-04-03,2025-05-03,sms_blast,senior,73000000,158843851,2.18,Marketing-2
CAMP-0269,NSI Wellness 2025-Q2,2025-04-03,2025-05-03,sms_blast,mass,48000000,110620617,2.3,Marketing-11
CAMP-0095,NSI Premium 2025-Q2,2025-04-04,2025-04-18,in_store_promo,mass,588000000,1670582014,2.84,Marketing-11
CAMP-0188,NSI Senin Hemat 2025-Q2,2025-04-07,2025-06-06,digital_ads,young_family,296000000,563334365,1.9,Marketing-10
CAMP-0191,NSI Premium 2025-Q2,2025-04-07,2025-04-21,sms_blast,mass,79000000,195183426,2.47,Marketing-8
CAMP-0224,NSI Sehat 2025-Q2,2025-04-08,2025-04-22,digital_ads,senior,77000000,172779360,2.24,Marketing-7
CAMP-0102,NSI Sehat 2025-Q2,2025-04-09,2025-04-16,loyalty_program,mass,135000000,552675410,4.09,Marketing-7
CAMP-0324,NSI Reward 2025-Q2,2025-04-10,2025-04-17,sms_blast,young_family,69000000,138588554,2.01,Marketing-9
CAMP-0235,NSI Premium 2025-Q2,2025-04-13,2025-04-27,sms_blast,senior,67000000,146266589,2.18,Marketing-9
CAMP-0230,NSI Premium 2025-Q2,2025-04-16,2025-04-30,kol_influencer,wellness_premium,198000000,519486775,2.62,Marketing-10
CAMP-0281,NSI Senin Hemat 2025-Q2,2025-04-16,2025-04-23,apps_push,wellness_premium,16000000,59476885,3.72,Marketing-12
